HDC GXHDC
DrawFocusRect         gxDrawFocusRect
TabbedTextOutW        gxTabbedTextOutW 
GetTabbedTextExtentW  gxGetTabbedTextExtentW 
CreateCaret           gxCreateCaret
ShowCaret             gxShowCaret
HideCaret             gxHideCaret
SetCaretPos           gxSetCaretPos
DestroyCaret          gxDestroyCaret
SetCaretBlinkTime     gxSetCaretBlinkTime
InsertMenuW           gxInsertMenuW
AppendMenuW           gxAppendMenuW
AppendMenuA           gxAppendMenuA
DeleteMenu            gxDeleteMenu
LoadMenuW             gxLoadMenuW
RemoveMenu            gxRemoveMenu
ModifyMenuW           gxModifyMenuW
IsMenu                gxIsMenu
LoadMenuW             gxLoadMenuW
DestroyMenu           gxDestroyMenu
GetMenu               gxGetMenu
SetMenuDefaultItem    gxSetMenuDefaultItem
InsertMenuItemW       gxInsertMenuItemW
LoadMenuIndirectW     gxLoadMenuIndirectW
CreateMenu            gxCreateMenu
CreatePopupMenu       gxCreatePopupMenu
GetSubMenu            gxGetSubMenu
EnableMenuItem        gxEnableMenuItem
TrackPopupMenu        gxTrackPopupMenu
EmptyClipboard        gxEmptyClipboard
OpenClipboard         gxOpenClipboard
SetClipboardData      gxSetClipboardData
GetClipboardData      gxGetClipboardData
CloseClipboard        gxCloseClipboard
InvalidateRgn         gxInvalidateRgn
GetTabbedTextExtent   gxGetTabbedTextExtent
GetDlgItem            gxGetDlgItem
GetNextDlgGroupItem   gxGetNextDlgGroupItem
UnionRect             gxUnionRect
IntersectRect         gxIntersectRect
IsRectEmpty           gxIsRectEmpty
SetRect               gxSetRect
CopyRect              gxCopyRect
PtInRect              gxPtInRect
EqualRect             gxEqualRect
OffsetRect            gxOffsetRect
InflateRect           gxInflateRect
RegnToRect            gxRegnToRect
RectToRegn            gxRectToRegn
LoadBitmapW           gxLoadBitmapW
LoadBitmapA           gxLoadBitmapA
DrawStateW            gxDrawStateW
DrawFrameControl      gxDrawFrameControl
DispatchMessageW      gxDispatchMessageW
PostMessageW          gxPostMessageW
PeekMessageW          gxPeekMessageW
ScrollWindow          gxScrollWindow
IsIconic              gxIsIconic
DestroyWindow         gxDestroyWindow 
GetAncestor           gxGetAncestor 
GetClassLongW         gxGetClassLongW 
TranslateMessage      gxTranslateMessage
CallMsgFilterW        gxCallMsgFilterW
MapWindowPoints       gxMapWindowPoints 
UpdateWindow          gxUpdateWindow
GdiGetCharDimensions  gxGdiGetCharDimensions
WaitMessage           gxWaitMessage 
MonitorFromPoint      gxMonitorFromPoint
GetMonitorInfoW       gxGetMonitorInfoW 
SetROP2      gxSetROP2
RectVisible    gxRectVisible
GetWindowLongW    gxGetWindowLongW
CreateCompatibleBitmap   gxCreateCompatibleBitmap
OpenThemeData     gxOpenThemeData
CloseThemeData     gxCloseThemeData
TrackMouseEvent   gxTrackMouseEvent
SetWindowLongPtrW  gxSetWindowLongPtrW
DrawThemeBackground  gxDrawThemeBackground
GetThemeBackgroundContentRect gxGetThemeBackgroundContentRect
ScreenToClient gxScreenToClient
GetCursorPos gxGetCursorPos
TRACKMOUSEEVENT GXTRACKMOUSEEVENT
DefWindowProcW gxDefWindowProcW
SetCursor gxSetCursor
Str_GetPtrWtoA  gxStr_GetPtrWtoA
Str_GetPtrAtoW  gxStr_GetPtrAtoW
Str_SetPtrAtoW  gxStr_SetPtrAtoW
Str_SetPtrWtoA  gxStr_SetPtrWtoA
Str_SetPtrW   gxStr_SetPtrW
Str_GetPtrW  gxStr_GetPtrW
SetRectEmpty   gxSetRectEmpty
LPHDHITTESTINFO GXLPHDHITTESTINFO
HDHITTESTINFO GXHDHITTESTINFO
NMHDDISPINFOW GXNMHDDISPINFOW
LPHDITEMW GXLPHDITEMW
GXHDITEMW GXHDITEMW
COMCTL32_IsReflectedMessage gxCOMCTL32_IsReflectedMessage
RegisterClassExW  gxRegisterClassExW
WNDCLASSW GXWNDCLASSEX
RegisterClassW  gxRegisterClassExW
ILC_COLORDDB GXILC_COLORDDB
GetSystemMetrics gxGetSystemMetrics
LoadCursorW gxLoadCursorW
LPCREATESTRUCT GXLPCREATESTRUCT
IDC_DIVIDER GXIDC_DIVIDER
IDC_DIVIDEROPEN             GXIDC_DIVIDEROPEN
PAINTSTRUCT  GXPAINTSTRUCT
DPA_GetPtrIndex    gxDPA_GetPtrIndex
DPA_Create      gxDPA_Create
DPA_InsertPtr    gxDPA_InsertPtr
DPA_Destroy      gxDPA_Destroy
DPA_Sort      gxDPA_Sort
DPA_DeletePtr    gxDPA_DeletePtr
DPA_GetPtr      gxDPA_GetPtr
DPA_EnumCallback  gxDPA_EnumCallback
GetClientRect    gxGetClientRect
ShowScrollBar    gxShowScrollBar
GetWindowTheme    gxGetWindowTheme
SetPixel      gxSetPixel
GetWindowTextW    gxGetWindowTextW
GetWindowTextA    gxGetWindowTextA
SetWindowPos    gxSetWindowPos
CreateWindowExW    gxCreateWindowExW
SetWindowLongW    gxSetWindowLongW
SetWindowTextW    gxSetWindowTextW
ShowWindow      gxShowWindow
GetFocus      gxGetFocus
SetFocus      gxSetFocus
GetDesktopWindow  gxGetDesktopWindow
IsThemeBackgroundPartiallyTransparent  gxIsThemeBackgroundPartiallyTransparent
DrawThemeParentBackground        gxDrawThemeParentBackground
_TrackMouseEvent  _gxTrackMouseEvent
SetScrollPos    gxSetScrollPos
GetWindowDC      gxGetWindowDC
IsChild        gxIsChild
GetWindowRgn    gxGetWindowRgn
GetWindow      gxGetWindow
MonitorFromRect    gxMonitorFromRect
UnregisterClassW  gxUnregisterClassW
FillRgn        gxFillRgn
DestroyIcon      gxDestroyIcon
GetWindowRgn    gxGetWindowRgn
FillRgn        gxFillRgn
SetWindowSubclass  gxSetWindowSubclass
RemoveWindowSubclass  gxRemoveWindowSubclass
LoadStringW      gxLoadStringW
CreatePen      gxCreatePen
